Title,Founder,Site URL,Categories
2Pro Danışmanlık,Ahmet Cengiz Ucar,https://www.2prodanismanlik.com/,['öngörü ve veri analitiği']
A2 Technology,Murat Mutlu,http://a2.tc/,['görüntü i̇şleme']
ACT Dijital,Burak Bilge,https://actdijital.com/,"['akıllı platformlar', 'chatbot ve diyalogsal yapay zeka']"
Adapha,Sema Gül Türk,https://adapha.com/,['görüntü i̇şleme']
Adastec,Ali Peker,https://adastec.com/,['otonom araçlar']
Adsbot,"Ümit Kuşoğlu, Can Kıvanç, Gökçe Argun, Burak Dağlı",https://adsbot.co/,"['makine öğrenmesi', 'optimizasyon']"
Agrimetre,Selçuk Bağcı,https://agrimetre.com/,['öngörü ve veri analitiği']
Agrovisio,Emre Tunalı,https://www.agrovisio.com.tr/,['görüntü i̇şleme']
Ahicommerce,Mahmut Düzen,https://www.ahicommerce.com/,"['makine öğrenmesi', 'akıllı platformlar', 'öngörü ve veri analitiği']"
AI.lin,Kadir Kuğu,https://tr.ailinsoft.com/,['chatbot ve diyalogsal yapay zeka']
AIATUS,Değer Ayata,https://aiatus.com/,"['öngörü ve veri analitiği', 'makine öğrenmesi', 'doğal dil i̇şleme']"
AirGemba,"Hüseyin Şıhmanoğlu, Mubin Fakığlu",https://airgemba.com/,['nesnelerin i̇nterneti']
AISOFT Yazılım A.Ş.,"Doç.Dr. Kubilay DEMİR, Doç.Dr. Vedat TÜMEN, Doç.Dr. Selahattion KOŞUNALP",http://aisofttechnology.com/,['görüntü i̇şleme']
AiTERNA Technologies,Arda Gündoğdu ve Mert Kutluay,https://www.aiterna.tech/,"['makine öğrenmesi', 'görüntü i̇şleme']"
AnkaBeta,Berk Şahin ve Kadir Oluz,https://www.linkedin.com/company/ankabeta/?originalSubdomain=tr,['öngörü ve veri analitiği']
Apollo loT,"Ezgi Eylül Hasvatan Gavas, Burak Gavas",https://www.apollo.eco/,['nesnelerin i̇nterneti']
Aivisiontech,"Doç. Dr. Murat CEYLAN, Hulusi Berik ve Ali Aksakarya",https://www.aivisiontech.net/,['görüntü i̇şleme']
Albert Health,"Serdar Gemici, Serhat Uzun, Ensar Güneşdoğdu",https://albert.health/,['doğal dil i̇şleme']
Algi AI,Volkan Zorlu,https://algi.ai/,['görüntü i̇şleme']
Algopoly,Mustafa Baydoğan,https://www.algopoly.com/,['öngörü ve veri analitiği']
Alphabots Robotik,"Alphabots GmbH, Devran Deviren, Selina Devré",https://www.alphabots.de/,"['makine öğrenmesi', 'optimizasyon', 'akıllı platformlar', 'rpa(robotik süreç otomasyonu)', 'chatbot ve diyalogsal yapay zeka']"
Alterna CX,Gürol Kurt,https://alternacx.com/,['makine öğrenmesi']
Amani,"Hamid Khan, Hamdi Kellecioğlu",https://amani.ai/,['yapay görü']
Ambeent,Mustafa Ergen,https://www.ambeent.ai/,['optimizasyon']
